"image_id","image_url","is_primary","product_id","variant_id","alt_text","display_order","created_at"
"34","https://res.cloudinary.com/druymbf9y/image/upload/v1781668009/fashion-ai-shop/products/dresses/avirate-black-dress-59987.jpg","True","34","34","Avirate Black Dress","1","6/17/2026 10:39:31 AM"
"35","https://res.cloudinary.com/druymbf9y/image/upload/v1781668010/fashion-ai-shop/products/dresses/femella-women-black-dress-54974.jpg","True","35","35","Femella Women Black Dress","1","6/17/2026 10:39:31 AM"
"36","https://res.cloudinary.com/druymbf9y/image/upload/v1781668011/fashion-ai-shop/products/dresses/and-women-pink-dress-41570.jpg","True","36","36","AND Women Pink Dress","1","6/17/2026 10:39:31 AM"
"37","https://res.cloudinary.com/druymbf9y/image/upload/v1781668012/fashion-ai-shop/products/dresses/doodle-kids-girl-printed-pink-dress-33505.jpg","True","37","37","Doodle Kids Girl Printed Pink Dress","1","6/17/2026 10:39:31 AM"
"38","https://res.cloudinary.com/druymbf9y/image/upload/v1781668013/fashion-ai-shop/products/dresses/elle-color-clash-purple-dress-57050.jpg","True","38","38","Elle Color Clash Purple Dress","1","6/17/2026 10:39:31 AM"
"39","https://res.cloudinary.com/druymbf9y/image/upload/v1781668014/fashion-ai-shop/products/dresses/arrow-woman-solid-green-dress-18897.jpg","True","39","39","Arrow Woman Solid Green Dress","1","6/17/2026 10:39:31 AM"
"40","https://res.cloudinary.com/druymbf9y/image/upload/v1781668014/fashion-ai-shop/products/dresses/gini-and-jony-kids-girls-solid-white-dresses-13310.jpg","True","40","40","Gini and Jony Kids Girls Solid White Dresses","1","6/17/2026 10:39:31 AM"
"41","https://res.cloudinary.com/druymbf9y/image/upload/v1781668015/fashion-ai-shop/products/dresses/femella-women-orange-dress-59895.jpg","True","41","41","Femella Women Orange Dress","1","6/17/2026 10:39:31 AM"
"42","https://res.cloudinary.com/druymbf9y/image/upload/v1781668016/fashion-ai-shop/products/dresses/arrow-woman-women-blue-dress-39716.jpg","True","42","42","Arrow Woman Women Blue Dress","1","6/17/2026 10:39:31 AM"
"43","https://res.cloudinary.com/druymbf9y/image/upload/v1781668017/fashion-ai-shop/products/flats/rocia-women-black-sandals-42731.jpg","True","43","43","Rocia Women Black Sandals","1","6/17/2026 10:39:31 AM"
"44","https://res.cloudinary.com/druymbf9y/image/upload/v1781668018/fashion-ai-shop/products/flats/catwalk-women-pink-shoes-49577.jpg","True","44","44","Catwalk Women Pink Shoes","1","6/17/2026 10:39:31 AM"
"45","https://res.cloudinary.com/druymbf9y/image/upload/v1781668018/fashion-ai-shop/products/flats/hm-women-multicoloured-heels-57014.jpg","True","45","45","HM Women Multicoloured Heels","1","6/17/2026 10:39:31 AM"
"46","https://res.cloudinary.com/druymbf9y/image/upload/v1781668019/fashion-ai-shop/products/flats/tiptopp-women-black-sandals-47450.jpg","True","46","46","Tiptopp Women Black Sandals","1","6/17/2026 10:39:31 AM"
"47","https://res.cloudinary.com/druymbf9y/image/upload/v1781668020/fashion-ai-shop/products/flats/catwalk-women-mary-jane-tan-casual-shoes-19033.jpg","True","47","47","Catwalk Women Mary Jane Tan Casual Shoes","1","6/17/2026 10:39:31 AM"
"48","https://res.cloudinary.com/druymbf9y/image/upload/v1781668021/fashion-ai-shop/products/flats/hm-women-black-sandals-56982.jpg","True","48","48","HM Women Black Sandals","1","6/17/2026 10:39:31 AM"
"49","https://res.cloudinary.com/druymbf9y/image/upload/v1781668022/fashion-ai-shop/products/flats/skechers-women-ever-lasting-black-sandals-13174.jpg","True","49","49","Skechers Women Ever Lasting Black Sandals","1","6/17/2026 10:39:31 AM"
"50","https://res.cloudinary.com/druymbf9y/image/upload/v1781668023/fashion-ai-shop/products/flats/timberland-women-nekkol-convertable-black-sports-sandals-6912.jpg","True","50","50","Timberland Women Nekkol Convertable Black Sports Sandals","1","6/17/2026 10:39:31 AM"
"51","https://res.cloudinary.com/druymbf9y/image/upload/v1781668024/fashion-ai-shop/products/flats/rocia-women-brown-sandals-42705.jpg","True","51","51","Rocia Women Brown Sandals","1","6/17/2026 10:39:31 AM"
"52","https://res.cloudinary.com/druymbf9y/image/upload/v1781668024/fashion-ai-shop/products/flats/carlton-london-women-red-flats-59040.jpg","True","52","52","Carlton London Women Red Flats","1","6/17/2026 10:39:31 AM"
"53","https://res.cloudinary.com/druymbf9y/image/upload/v1781668025/fashion-ai-shop/products/flats/rocia-women-black-brown-sandals-45409.jpg","True","53","53","Rocia Women Black & Brown Sandals","1","6/17/2026 10:39:31 AM"
"54","https://res.cloudinary.com/druymbf9y/image/upload/v1781668026/fashion-ai-shop/products/flats/carlton-london-women-black-flats-59019.jpg","True","54","54","Carlton London Women Black Flats","1","6/17/2026 10:39:31 AM"
"55","https://res.cloudinary.com/druymbf9y/image/upload/v1781668027/fashion-ai-shop/products/flats/catwalk-women-black-flats-49594.jpg","True","55","55","Catwalk Women Black Flats","1","6/17/2026 10:39:31 AM"
"56","https://res.cloudinary.com/druymbf9y/image/upload/v1781668027/fashion-ai-shop/products/flats/carlton-london-women-classy-gold-sandals-20777.jpg","True","56","56","Carlton London Women Classy Gold Sandals","1","6/17/2026 10:39:31 AM"
"57","https://res.cloudinary.com/druymbf9y/image/upload/v1781668028/fashion-ai-shop/products/flats/rocia-women-bronze-sandal-42700.jpg","True","57","57","Rocia Women Bronze Sandal","1","6/17/2026 10:39:31 AM"
"58","https://res.cloudinary.com/druymbf9y/image/upload/v1781668029/fashion-ai-shop/products/flats/portia-women-yellow-flats-47602.jpg","True","58","58","Portia Women Yellow Flats","1","6/17/2026 10:39:31 AM"
"59","https://res.cloudinary.com/druymbf9y/image/upload/v1781668030/fashion-ai-shop/products/flats/rocia-women-gold-sandals-42695.jpg","True","59","59","Rocia Women Gold Sandals","1","6/17/2026 10:39:31 AM"
"60","https://res.cloudinary.com/druymbf9y/image/upload/v1781668030/fashion-ai-shop/products/flats/rocia-women-black-flats-13481.jpg","True","60","60","Rocia Women Black Flats","1","6/17/2026 10:39:31 AM"
"61","https://res.cloudinary.com/druymbf9y/image/upload/v1781668031/fashion-ai-shop/products/flats/hm-women-black-sandals-56997.jpg","True","61","61","HM Women Black Sandals","1","6/17/2026 10:39:31 AM"
"62","https://res.cloudinary.com/druymbf9y/image/upload/v1781668032/fashion-ai-shop/products/flats/hm-women-golden-sandals-57006.jpg","True","62","62","HM Women Golden Sandals","1","6/17/2026 10:39:31 AM"
"63","https://res.cloudinary.com/druymbf9y/image/upload/v1781668032/fashion-ai-shop/products/flats/portia-women-grey-flats-47542.jpg","True","63","63","Portia Women Grey Flats","1","6/17/2026 10:39:31 AM"
"64","https://res.cloudinary.com/druymbf9y/image/upload/v1781668033/fashion-ai-shop/products/flip-flops/playboy-men-red-flip-flops-24107.jpg","True","64","64","Playboy Men Red Flip Flops","1","6/17/2026 10:39:31 AM"
"65","https://res.cloudinary.com/druymbf9y/image/upload/v1781668034/fashion-ai-shop/products/flip-flops/adidas-mens-calo-lea-m-brown-flip-flops-12980.jpg","True","65","65","ADIDAS Mens Calo Lea M Brown Flip Flops","1","6/17/2026 10:39:31 AM"
"66","https://res.cloudinary.com/druymbf9y/image/upload/v1781668035/fashion-ai-shop/products/flip-flops/adidas-men-s-adi-jumble-blue-flip-flop-5627.jpg","True","66","66","ADIDAS Men's Adi Jumble Blue Flip Flop","1","6/17/2026 10:39:31 AM"
"67","https://res.cloudinary.com/druymbf9y/image/upload/v1781668036/fashion-ai-shop/products/flip-flops/playboy-men-red-flip-flops-11846.jpg","True","67","67","Playboy Men Red Flip Flops","1","6/17/2026 10:39:31 AM"
"68","https://res.cloudinary.com/druymbf9y/image/upload/v1781668036/fashion-ai-shop/products/flip-flops/quiksilver-men-black-flip-flops-40783.jpg","True","68","68","Quiksilver Men Black Flip Flops","1","6/17/2026 10:39:31 AM"
"69","https://res.cloudinary.com/druymbf9y/image/upload/v1781668037/fashion-ai-shop/products/flip-flops/nike-women-snapper-thong-flip-flop-25449.jpg","True","69","69","Nike Women Snapper Thong Flip Flop","1","6/17/2026 10:39:31 AM"
"70","https://res.cloudinary.com/druymbf9y/image/upload/v1781668038/fashion-ai-shop/products/flip-flops/disney-unisex-kids-basic-yellow-flip-flops-10762.jpg","True","70","70","Disney Unisex Kids Basic Yellow Flip Flops","1","6/17/2026 10:39:31 AM"
"71","https://res.cloudinary.com/druymbf9y/image/upload/v1781668039/fashion-ai-shop/products/flip-flops/skechers-men-black-flip-flops-59017.jpg","True","71","71","Skechers Men Black Flip Flops","1","6/17/2026 10:39:31 AM"
"72","https://res.cloudinary.com/druymbf9y/image/upload/v1781668040/fashion-ai-shop/products/flip-flops/quiksilver-men-multi-milokai-print-flip-flops-21202.jpg","True","72","72","Quiksilver Men Multi Milokai Print Flip Flops","1","6/17/2026 10:39:31 AM"
"73","https://res.cloudinary.com/druymbf9y/image/upload/v1781668040/fashion-ai-shop/products/flip-flops/puma-men-s-neon-cat-black-flip-flop-3621.jpg","True","73","73","Puma Men's Neon Cat Black Flip Flop","1","6/17/2026 10:39:31 AM"
"74","https://res.cloudinary.com/druymbf9y/image/upload/v1781668041/fashion-ai-shop/products/flip-flops/u-s-polo-assn-men-blue-flip-flops-35666.jpg","True","74","74","U.S. Polo Assn. Men Blue Flip Flops","1","6/17/2026 10:39:31 AM"
"75","https://res.cloudinary.com/druymbf9y/image/upload/v1781668042/fashion-ai-shop/products/flip-flops/ipanema-women-red-flip-flops-44215.jpg","True","75","75","iPanema Women Red Flip Flops","1","6/17/2026 10:39:31 AM"
"76","https://res.cloudinary.com/druymbf9y/image/upload/v1781668043/fashion-ai-shop/products/flip-flops/adidas-men-distorted-red-flip-flops-21177.jpg","True","76","76","ADIDAS Men Distorted Red Flip Flops","1","6/17/2026 10:39:31 AM"
"77","https://res.cloudinary.com/druymbf9y/image/upload/v1781668044/fashion-ai-shop/products/flip-flops/ipanema-women-white-flip-flops-44216.jpg","True","77","77","iPanema Women White Flip Flops","1","6/17/2026 10:39:31 AM"
"78","https://res.cloudinary.com/druymbf9y/image/upload/v1781668045/fashion-ai-shop/products/flip-flops/lotto-men-blue-white-flip-flops-41227.jpg","True","78","78","Lotto Men Blue & White Flip Flops","1","6/17/2026 10:39:31 AM"
"79","https://res.cloudinary.com/druymbf9y/image/upload/v1781668046/fashion-ai-shop/products/flip-flops/ipanema-women-blue-flip-flops-49820.jpg","True","79","79","iPanema Women Blue Flip Flops","1","6/17/2026 10:39:31 AM"
"80","https://res.cloudinary.com/druymbf9y/image/upload/v1781668046/fashion-ai-shop/products/flip-flops/u-s-polo-assn-men-white-flip-flops-35665.jpg","True","80","80","U.S. Polo Assn. Men White Flip Flops","1","6/17/2026 10:39:31 AM"
"81","https://res.cloudinary.com/druymbf9y/image/upload/v1781668047/fashion-ai-shop/products/flip-flops/nike-men-purple-solarsoft-thong-flip-flops-42997.jpg","True","81","81","Nike Men Purple Solarsoft Thong Flip Flops","1","6/17/2026 10:39:31 AM"
"82","https://res.cloudinary.com/druymbf9y/image/upload/v1781668048/fashion-ai-shop/products/flip-flops/nike-women-solarsoft-thong-purple-slipper-17835.jpg","True","82","82","Nike Women Solarsoft Thong Purple Slipper","1","6/17/2026 10:39:31 AM"
"83","https://res.cloudinary.com/druymbf9y/image/upload/v1781668049/fashion-ai-shop/products/flip-flops/quiksilver-men-multi-coloured-flip-flops-40782.jpg","True","83","83","Quiksilver Men Multi Coloured Flip Flops","1","6/17/2026 10:39:31 AM"
"84","https://res.cloudinary.com/druymbf9y/image/upload/v1781668050/fashion-ai-shop/products/flip-flops/disney-unisex-kids-basic-navy-blue-flip-flops-10765.jpg","True","84","84","Disney Unisex Kids Basic Navy Blue Flip Flops","1","6/17/2026 10:39:31 AM"
"85","https://res.cloudinary.com/druymbf9y/image/upload/v1781668051/fashion-ai-shop/products/formal-shoes/buckaroo-men-moles-black-formal-shoes-9041.jpg","True","85","85","Buckaroo Men Moles Black Formal Shoes","1","6/17/2026 10:39:31 AM"
"86","https://res.cloudinary.com/druymbf9y/image/upload/v1781668052/fashion-ai-shop/products/formal-shoes/rockport-men-arratoon-black-shoe-4284.jpg","True","86","86","Rockport Men Arratoon Black Shoe","1","6/17/2026 10:39:31 AM"
"87","https://res.cloudinary.com/druymbf9y/image/upload/v1781668053/fashion-ai-shop/products/formal-shoes/red-tape-men-black-shoes-30260.jpg","True","87","87","Red Tape Men Black Shoes","1","6/17/2026 10:39:31 AM"
"88","https://res.cloudinary.com/druymbf9y/image/upload/v1781668054/fashion-ai-shop/products/formal-shoes/hush-puppies-men-chevelle-brown-formal-shoes-9702.jpg","True","88","88","Hush Puppies Men Chevelle Brown Formal Shoes","1","6/17/2026 10:39:31 AM"
"89","https://res.cloudinary.com/druymbf9y/image/upload/v1781668055/fashion-ai-shop/products/formal-shoes/rockport-men-s-myrics-mid-brown-shoe-7230.jpg","True","89","89","Rockport Men's Myrics Mid Brown Shoe","1","6/17/2026 10:39:31 AM"
"90","https://res.cloudinary.com/druymbf9y/image/upload/v1781668055/fashion-ai-shop/products/formal-shoes/lee-cooper-men-black-formal-shoe-17822.jpg","True","90","90","Lee Cooper Men  Black Formal Shoe","1","6/17/2026 10:39:31 AM"
"91","https://res.cloudinary.com/druymbf9y/image/upload/v1781668056/fashion-ai-shop/products/formal-shoes/provogue-men-brown-formal-shoes-22126.jpg","True","91","91","Provogue Men Brown Formal Shoes","1","6/17/2026 10:39:31 AM"
"92","https://res.cloudinary.com/druymbf9y/image/upload/v1781668057/fashion-ai-shop/products/formal-shoes/arrow-men-brown-formal-shoes-45587.jpg","True","92","92","Arrow Men Brown Formal Shoes","1","6/17/2026 10:39:31 AM"
"93","https://res.cloudinary.com/druymbf9y/image/upload/v1781668058/fashion-ai-shop/products/formal-shoes/franco-leone-men-formal-black-formal-shoes-11873.jpg","True","93","93","Franco Leone Men Formal Black Formal Shoes","1","6/17/2026 10:39:31 AM"
"94","https://res.cloudinary.com/druymbf9y/image/upload/v1781668058/fashion-ai-shop/products/formal-shoes/gliders-men-black-formal-shoes-44429.jpg","True","94","94","Gliders Men Black Formal Shoes","1","6/17/2026 10:39:31 AM"
"95","https://res.cloudinary.com/druymbf9y/image/upload/v1781668059/fashion-ai-shop/products/formal-shoes/u-s-polo-assn-men-brown-derby-formal-shoes-50419.jpg","True","95","95","U.S. Polo Assn. Men Brown Derby Formal Shoes","1","6/17/2026 10:39:31 AM"
"96","https://res.cloudinary.com/druymbf9y/image/upload/v1781668060/fashion-ai-shop/products/formal-shoes/carlton-london-men-s-semi-formal-black-shoe-2637.jpg","True","96","96","Carlton London Men's Semi Formal Black Shoe","1","6/17/2026 10:39:31 AM"
"97","https://res.cloudinary.com/druymbf9y/image/upload/v1781668061/fashion-ai-shop/products/formal-shoes/clarks-men-black-leather-formal-shoes-23802.jpg","True","97","97","Clarks Men Black Leather Formal Shoes","1","6/17/2026 10:39:31 AM"
"98","https://res.cloudinary.com/druymbf9y/image/upload/v1781668061/fashion-ai-shop/products/formal-shoes/red-tape-men-brown-shoes-34536.jpg","True","98","98","Red Tape Men Brown Shoes","1","6/17/2026 10:39:31 AM"
"99","https://res.cloudinary.com/druymbf9y/image/upload/v1781668062/fashion-ai-shop/products/formal-shoes/rockport-men-s-ragosta-black-shoe-7236.jpg","True","99","99","Rockport Men's Ragosta Black Shoe","1","6/17/2026 10:39:31 AM"
"100","https://res.cloudinary.com/druymbf9y/image/upload/v1781668063/fashion-ai-shop/products/formal-shoes/homme-men-black-formal-shoes-33336.jpg","True","100","100","Homme Men Black Formal Shoes","1","6/17/2026 10:39:31 AM"
"101","https://res.cloudinary.com/druymbf9y/image/upload/v1781668064/fashion-ai-shop/products/formal-shoes/rockport-men-s-ragosta-brown-shoe-7235.jpg","True","101","101","Rockport Men's Ragosta Brown Shoe","1","6/17/2026 10:39:31 AM"
"102","https://res.cloudinary.com/druymbf9y/image/upload/v1781668065/fashion-ai-shop/products/formal-shoes/numero-uno-men-black-formal-shoes-40690.jpg","True","102","102","Numero Uno Men Black Formal Shoes","1","6/17/2026 10:39:31 AM"
"103","https://res.cloudinary.com/druymbf9y/image/upload/v1781668066/fashion-ai-shop/products/formal-shoes/stens-by-enroute-men-black-formal-shoes-35397.jpg","True","103","103","Stens by Enroute Men Black Formal Shoes","1","6/17/2026 10:39:31 AM"
"104","https://res.cloudinary.com/druymbf9y/image/upload/v1781668066/fashion-ai-shop/products/formal-shoes/franco-leone-men-formal-maroon-formal-shoes-11899.jpg","True","104","104","Franco Leone Men Formal Maroon Formal Shoes","1","6/17/2026 10:39:31 AM"
"105","https://res.cloudinary.com/druymbf9y/image/upload/v1781668067/fashion-ai-shop/products/formal-shoes/enroute-men-leather-brown-formal-shoes-16155.jpg","True","105","105","Enroute Men Leather Brown Formal Shoes","1","6/17/2026 10:39:31 AM"
"106","https://res.cloudinary.com/druymbf9y/image/upload/v1781668068/fashion-ai-shop/products/heels/catwalk-women-blue-casual-flats-22502.jpg","True","106","106","Catwalk  Women Blue Casual Flats","1","6/17/2026 10:39:31 AM"
"107","https://res.cloudinary.com/druymbf9y/image/upload/v1781668069/fashion-ai-shop/products/heels/catwalk-women-blue-wedges-39591.jpg","True","107","107","Catwalk Women Blue Wedges","1","6/17/2026 10:39:31 AM"
"108","https://res.cloudinary.com/druymbf9y/image/upload/v1781668070/fashion-ai-shop/products/heels/grendha-women-jola-cigana-gold-flats-32841.jpg","True","108","108","Grendha Women Jola Cigana Gold Flats","1","6/17/2026 10:39:31 AM"
"109","https://res.cloudinary.com/druymbf9y/image/upload/v1781668070/fashion-ai-shop/products/heels/cobblerz-women-olive-green-sandals-45362.jpg","True","109","109","Cobblerz Women Olive Green Sandals","1","6/17/2026 10:39:31 AM"
"110","https://res.cloudinary.com/druymbf9y/image/upload/v1781668071/fashion-ai-shop/products/heels/rocia-women-beige-sandals-54142.jpg","True","110","110","Rocia Women Beige Sandals","1","6/17/2026 10:39:31 AM"
"111","https://res.cloudinary.com/druymbf9y/image/upload/v1781668072/fashion-ai-shop/products/heels/hm-women-black-flats-56961.jpg","True","111","111","HM Women Black Flats","1","6/17/2026 10:39:31 AM"
"112","https://res.cloudinary.com/druymbf9y/image/upload/v1781668072/fashion-ai-shop/products/heels/cobblerz-women-grey-sandals-45375.jpg","True","112","112","Cobblerz Women Grey Sandals","1","6/17/2026 10:39:31 AM"
"113","https://res.cloudinary.com/druymbf9y/image/upload/v1781668073/fashion-ai-shop/products/heels/catwalk-women-black-peep-toes-33110.jpg","True","113","113","Catwalk Women Black Peep Toes","1","6/17/2026 10:39:31 AM"
"114","https://res.cloudinary.com/druymbf9y/image/upload/v1781668074/fashion-ai-shop/products/heels/catwalk-women-black-flats-49622.jpg","True","114","114","Catwalk Women Black Flats","1","6/17/2026 10:39:31 AM"
"115","https://res.cloudinary.com/druymbf9y/image/upload/v1781668075/fashion-ai-shop/products/heels/catwalk-women-casual-multi-flats-20275.jpg","True","115","115","Catwalk Women Casual Multi Flats","1","6/17/2026 10:39:31 AM"
"116","https://res.cloudinary.com/druymbf9y/image/upload/v1781668076/fashion-ai-shop/products/heels/catwalk-women-black-heels-55644.jpg","True","116","116","Catwalk Women Black Heels","1","6/17/2026 10:39:31 AM"
"117","https://res.cloudinary.com/druymbf9y/image/upload/v1781668076/fashion-ai-shop/products/heels/catwalk-women-gold-heels-41673.jpg","True","117","117","Catwalk Women Gold Heels","1","6/17/2026 10:39:31 AM"
"118","https://res.cloudinary.com/druymbf9y/image/upload/v1781668077/fashion-ai-shop/products/heels/cobblerz-women-multicoloured-sandals-45343.jpg","True","118","118","Cobblerz Women Multicoloured Sandals","1","6/17/2026 10:39:31 AM"
"119","https://res.cloudinary.com/druymbf9y/image/upload/v1781668079/fashion-ai-shop/products/heels/carlton-london-women-yellow-peep-toes-47637.jpg","True","119","119","Carlton London Women Yellow Peep Toes","1","6/17/2026 10:39:31 AM"
"120","https://res.cloudinary.com/druymbf9y/image/upload/v1781668080/fashion-ai-shop/products/heels/cobblerz-women-blue-heels-45331.jpg","True","120","120","Cobblerz Women Blue Heels","1","6/17/2026 10:39:31 AM"
