"variant_id","sku","variant_attributes","price","stock_quantity","product_id","color","size","stock_reserved","low_stock_threshold","is_active","created_at","updated_at"
"38","VS-57050-WHITE-M","{""color"":""White"",""size"":""M""}","399000.00","70","38","White","M","0","5","True","6/17/2026 10:38:12 AM","6/17/2026 10:38:12 AM"
"39","VS-18897-GREEN-M","{""color"":""Green"",""size"":""M""}","399000.00","50","39","Green","M","0","5","True","6/17/2026 10:38:12 AM","6/17/2026 10:38:12 AM"
"40","VS-13310-WHITE-M","{""color"":""White"",""size"":""M""}","399000.00","55","40","White","M","0","5","True","6/17/2026 10:38:12 AM","6/17/2026 10:38:12 AM"
"41","VS-59895-ORANGE-M","{""color"":""Orange"",""size"":""M""}","399000.00","16","41","Orange","M","0","5","True","6/17/2026 10:38:12 AM","6/17/2026 10:38:12 AM"
"42","VS-39716-BLUE-M","{""color"":""Blue"",""size"":""M""}","399000.00","37","42","Blue","M","0","5","True","6/17/2026 10:38:12 AM","6/17/2026 10:38:12 AM"
"43","VS-42731-BLACK-M","{""color"":""Black"",""size"":""M""}","399000.00","86","43","Black","M","0","5","True","6/17/2026 10:38:12 AM","6/17/2026 10:38:12 AM"
"44","VS-49577-PINK-M","{""color"":""Pink"",""size"":""M""}","399000.00","82","44","Pink","M","0","5","True","6/17/2026 10:38:12 AM","6/17/2026 10:38:12 AM"
"45","VS-57014-MULTI-M","{""color"":""Multi"",""size"":""M""}","399000.00","62","45","Multi","M","0","5","True","6/17/2026 10:38:12 AM","6/17/2026 10:38:12 AM"
"46","VS-47450-BLACK-M","{""color"":""Black"",""size"":""M""}","399000.00","75","46","Black","M","0","5","True","6/17/2026 10:38:12 AM","6/17/2026 10:38:12 AM"
"47","VS-19033-TAN-M","{""color"":""Tan"",""size"":""M""}","399000.00","80","47","Tan","M","0","5","True","6/17/2026 10:38:12 AM","6/17/2026 10:38:12 AM"
"48","VS-56982-BLACK-M","{""color"":""Black"",""size"":""M""}","399000.00","57","48","Black","M","0","5","True","6/17/2026 10:38:12 AM","6/17/2026 10:38:12 AM"
"49","VS-13174-BLACK-M","{""color"":""Black"",""size"":""M""}","399000.00","57","49","Black","M","0","5","True","6/17/2026 10:38:12 AM","6/17/2026 10:38:12 AM"
"50","VS-6912-BLACK-M","{""color"":""Black"",""size"":""M""}","399000.00","26","50","Black","M","0","5","True","6/17/2026 10:38:12 AM","6/17/2026 10:38:12 AM"
"51","VS-42705-BROWN-M","{""color"":""Brown"",""size"":""M""}","399000.00","51","51","Brown","M","0","5","True","6/17/2026 10:38:12 AM","6/17/2026 10:38:12 AM"
"52","VS-59040-RED-M","{""color"":""Red"",""size"":""M""}","399000.00","76","52","Red","M","0","5","True","6/17/2026 10:38:12 AM","6/17/2026 10:38:12 AM"
"53","VS-45409-BLACK-M","{""color"":""Black"",""size"":""M""}","399000.00","95","53","Black","M","0","5","True","6/17/2026 10:38:12 AM","6/17/2026 10:38:12 AM"
"54","VS-59019-BLACK-M","{""color"":""Black"",""size"":""M""}","399000.00","46","54","Black","M","0","5","True","6/17/2026 10:38:12 AM","6/17/2026 10:38:12 AM"
"55","VS-49594-BLACK-M","{""color"":""Black"",""size"":""M""}","399000.00","32","55","Black","M","0","5","True","6/17/2026 10:38:12 AM","6/17/2026 10:38:12 AM"
"56","VS-20777-GOLD-M","{""color"":""Gold"",""size"":""M""}","399000.00","33","56","Gold","M","0","5","True","6/17/2026 10:38:12 AM","6/17/2026 10:38:12 AM"
"57","VS-42700-BRONZE-M","{""color"":""Bronze"",""size"":""M""}","399000.00","80","57","Bronze","M","0","5","True","6/17/2026 10:38:12 AM","6/17/2026 10:38:12 AM"
"58","VS-47602-BROWN-M","{""color"":""Brown"",""size"":""M""}","399000.00","22","58","Brown","M","0","5","True","6/17/2026 10:38:12 AM","6/17/2026 10:38:12 AM"
"59","VS-42695-GOLD-M","{""color"":""Gold"",""size"":""M""}","399000.00","92","59","Gold","M","0","5","True","6/17/2026 10:38:12 AM","6/17/2026 10:38:12 AM"
"60","VS-13481-BLACK-M","{""color"":""Black"",""size"":""M""}","399000.00","99","60","Black","M","0","5","True","6/17/2026 10:38:12 AM","6/17/2026 10:38:12 AM"
"61","VS-56997-BLACK-M","{""color"":""Black"",""size"":""M""}","399000.00","19","61","Black","M","0","5","True","6/17/2026 10:38:12 AM","6/17/2026 10:38:12 AM"
"62","VS-57006-GOLD-M","{""color"":""Gold"",""size"":""M""}","399000.00","13","62","Gold","M","0","5","True","6/17/2026 10:38:12 AM","6/17/2026 10:38:12 AM"
"63","VS-47542-GREY-M","{""color"":""Grey"",""size"":""M""}","399000.00","30","63","Grey","M","0","5","True","6/17/2026 10:38:12 AM","6/17/2026 10:38:12 AM"
"64","VS-24107-RED-M","{""color"":""Red"",""size"":""M""}","159000.00","88","64","Red","M","0","5","True","6/17/2026 10:38:12 AM","6/17/2026 10:38:12 AM"
"65","VS-12980-BROWN-M","{""color"":""Brown"",""size"":""M""}","159000.00","99","65","Brown","M","0","5","True","6/17/2026 10:38:12 AM","6/17/2026 10:38:12 AM"
"66","VS-5627-BLUE-M","{""color"":""Blue"",""size"":""M""}","159000.00","26","66","Blue","M","0","5","True","6/17/2026 10:38:12 AM","6/17/2026 10:38:12 AM"
"67","VS-11846-RED-M","{""color"":""Red"",""size"":""M""}","159000.00","69","67","Red","M","0","5","True","6/17/2026 10:38:12 AM","6/17/2026 10:38:12 AM"
"68","VS-40783-BLACK-M","{""color"":""Black"",""size"":""M""}","159000.00","67","68","Black","M","0","5","True","6/17/2026 10:38:12 AM","6/17/2026 10:38:12 AM"
"69","VS-25449-GREEN-M","{""color"":""Green"",""size"":""M""}","159000.00","82","69","Green","M","0","5","True","6/17/2026 10:38:12 AM","6/17/2026 10:38:12 AM"
"70","VS-10762-YELLOW-M","{""color"":""Yellow"",""size"":""M""}","159000.00","98","70","Yellow","M","0","5","True","6/17/2026 10:38:12 AM","6/17/2026 10:38:12 AM"
"71","VS-59017-BLACK-M","{""color"":""Black"",""size"":""M""}","159000.00","62","71","Black","M","0","5","True","6/17/2026 10:38:12 AM","6/17/2026 10:38:12 AM"
"72","VS-21202-MULTI-M","{""color"":""Multi"",""size"":""M""}","159000.00","57","72","Multi","M","0","5","True","6/17/2026 10:38:12 AM","6/17/2026 10:38:12 AM"
"73","VS-3621-BLACK-M","{""color"":""Black"",""size"":""M""}","159000.00","26","73","Black","M","0","5","True","6/17/2026 10:38:12 AM","6/17/2026 10:38:12 AM"
"74","VS-35666-BLUE-M","{""color"":""Blue"",""size"":""M""}","159000.00","24","74","Blue","M","0","5","True","6/17/2026 10:38:12 AM","6/17/2026 10:38:12 AM"
"75","VS-44215-RED-M","{""color"":""Red"",""size"":""M""}","159000.00","65","75","Red","M","0","5","True","6/17/2026 10:38:12 AM","6/17/2026 10:38:12 AM"
"76","VS-21177-RED-M","{""color"":""Red"",""size"":""M""}","159000.00","50","76","Red","M","0","5","True","6/17/2026 10:38:12 AM","6/17/2026 10:38:12 AM"
"77","VS-44216-WHITE-M","{""color"":""White"",""size"":""M""}","159000.00","38","77","White","M","0","5","True","6/17/2026 10:38:12 AM","6/17/2026 10:38:12 AM"
"78","VS-41227-BLUE-M","{""color"":""Blue"",""size"":""M""}","159000.00","37","78","Blue","M","0","5","True","6/17/2026 10:38:12 AM","6/17/2026 10:38:12 AM"
"79","VS-49820-BLUE-M","{""color"":""Blue"",""size"":""M""}","159000.00","49","79","Blue","M","0","5","True","6/17/2026 10:38:12 AM","6/17/2026 10:38:12 AM"
"80","VS-35665-WHITE-M","{""color"":""White"",""size"":""M""}","159000.00","71","80","White","M","0","5","True","6/17/2026 10:38:12 AM","6/17/2026 10:38:12 AM"
"81","VS-42997-PURPLE-M","{""color"":""Purple"",""size"":""M""}","159000.00","54","81","Purple","M","0","5","True","6/17/2026 10:38:12 AM","6/17/2026 10:38:12 AM"
"82","VS-17835-PURPLE-M","{""color"":""Purple"",""size"":""M""}","159000.00","97","82","Purple","M","0","5","True","6/17/2026 10:38:12 AM","6/17/2026 10:38:12 AM"
"83","VS-40782-MULTI-M","{""color"":""Multi"",""size"":""M""}","159000.00","75","83","Multi","M","0","5","True","6/17/2026 10:38:12 AM","6/17/2026 10:38:12 AM"
"84","VS-10765-NAVY-BLUE-M","{""color"":""Navy Blue"",""size"":""M""}","159000.00","65","84","Navy Blue","M","0","5","True","6/17/2026 10:38:12 AM","6/17/2026 10:38:12 AM"
"85","VS-9041-BLACK-M","{""color"":""Black"",""size"":""M""}","799000.00","45","85","Black","M","0","5","True","6/17/2026 10:38:12 AM","6/17/2026 10:38:12 AM"
"86","VS-4284-BLACK-M","{""color"":""Black"",""size"":""M""}","799000.00","19","86","Black","M","0","5","True","6/17/2026 10:38:12 AM","6/17/2026 10:38:12 AM"
"87","VS-30260-BLACK-M","{""color"":""Black"",""size"":""M""}","799000.00","18","87","Black","M","0","5","True","6/17/2026 10:38:12 AM","6/17/2026 10:38:12 AM"
"88","VS-9702-BROWN-M","{""color"":""Brown"",""size"":""M""}","799000.00","71","88","Brown","M","0","5","True","6/17/2026 10:38:12 AM","6/17/2026 10:38:12 AM"
"89","VS-7230-BROWN-M","{""color"":""Brown"",""size"":""M""}","799000.00","59","89","Brown","M","0","5","True","6/17/2026 10:38:12 AM","6/17/2026 10:38:12 AM"
"90","VS-17822-BLACK-M","{""color"":""Black"",""size"":""M""}","799000.00","55","90","Black","M","0","5","True","6/17/2026 10:38:12 AM","6/17/2026 10:38:12 AM"
"91","VS-22126-BROWN-M","{""color"":""Brown"",""size"":""M""}","799000.00","18","91","Brown","M","0","5","True","6/17/2026 10:38:12 AM","6/17/2026 10:38:12 AM"
"92","VS-45587-BROWN-M","{""color"":""Brown"",""size"":""M""}","799000.00","33","92","Brown","M","0","5","True","6/17/2026 10:38:12 AM","6/17/2026 10:38:12 AM"
"93","VS-11873-BLACK-M","{""color"":""Black"",""size"":""M""}","799000.00","27","93","Black","M","0","5","True","6/17/2026 10:38:12 AM","6/17/2026 10:38:12 AM"
"94","VS-44429-BLACK-M","{""color"":""Black"",""size"":""M""}","799000.00","76","94","Black","M","0","5","True","6/17/2026 10:38:12 AM","6/17/2026 10:38:12 AM"
"95","VS-50419-BROWN-M","{""color"":""Brown"",""size"":""M""}","799000.00","58","95","Brown","M","0","5","True","6/17/2026 10:38:12 AM","6/17/2026 10:38:12 AM"
"96","VS-2637-BLACK-M","{""color"":""Black"",""size"":""M""}","799000.00","89","96","Black","M","0","5","True","6/17/2026 10:38:12 AM","6/17/2026 10:38:12 AM"
"97","VS-23802-BLACK-M","{""color"":""Black"",""size"":""M""}","799000.00","98","97","Black","M","0","5","True","6/17/2026 10:38:12 AM","6/17/2026 10:38:12 AM"
"98","VS-34536-BROWN-M","{""color"":""Brown"",""size"":""M""}","799000.00","64","98","Brown","M","0","5","True","6/17/2026 10:38:12 AM","6/17/2026 10:38:12 AM"
"99","VS-7236-BLACK-M","{""color"":""Black"",""size"":""M""}","799000.00","36","99","Black","M","0","5","True","6/17/2026 10:38:12 AM","6/17/2026 10:38:12 AM"
"100","VS-33336-BLACK-M","{""color"":""Black"",""size"":""M""}","799000.00","72","100","Black","M","0","5","True","6/17/2026 10:38:12 AM","6/17/2026 10:38:12 AM"
"101","VS-7235-BROWN-M","{""color"":""Brown"",""size"":""M""}","799000.00","61","101","Brown","M","0","5","True","6/17/2026 10:38:12 AM","6/17/2026 10:38:12 AM"
"102","VS-40690-BLACK-M","{""color"":""Black"",""size"":""M""}","799000.00","40","102","Black","M","0","5","True","6/17/2026 10:38:12 AM","6/17/2026 10:38:12 AM"
"103","VS-35397-BLACK-M","{""color"":""Black"",""size"":""M""}","799000.00","70","103","Black","M","0","5","True","6/17/2026 10:38:12 AM","6/17/2026 10:38:12 AM"
"104","VS-11899-MAROON-M","{""color"":""Maroon"",""size"":""M""}","799000.00","71","104","Maroon","M","0","5","True","6/17/2026 10:38:12 AM","6/17/2026 10:38:12 AM"
"105","VS-16155-BROWN-M","{""color"":""Brown"",""size"":""M""}","799000.00","79","105","Brown","M","0","5","True","6/17/2026 10:38:12 AM","6/17/2026 10:38:12 AM"
"106","VS-22502-BLUE-M","{""color"":""Blue"",""size"":""M""}","599000.00","50","106","Blue","M","0","5","True","6/17/2026 10:38:12 AM","6/17/2026 10:38:12 AM"
"107","VS-39591-BLUE-M","{""color"":""Blue"",""size"":""M""}","599000.00","29","107","Blue","M","0","5","True","6/17/2026 10:38:12 AM","6/17/2026 10:38:12 AM"
"108","VS-32841-GOLD-M","{""color"":""Gold"",""size"":""M""}","599000.00","54","108","Gold","M","0","5","True","6/17/2026 10:38:12 AM","6/17/2026 10:38:12 AM"
"109","VS-45362-OLIVE-M","{""color"":""Olive"",""size"":""M""}","599000.00","14","109","Olive","M","0","5","True","6/17/2026 10:38:12 AM","6/17/2026 10:38:12 AM"
"110","VS-54142-BEIGE-M","{""color"":""Beige"",""size"":""M""}","599000.00","99","110","Beige","M","0","5","True","6/17/2026 10:38:12 AM","6/17/2026 10:38:12 AM"
"111","VS-56961-BLACK-M","{""color"":""Black"",""size"":""M""}","599000.00","33","111","Black","M","0","5","True","6/17/2026 10:38:12 AM","6/17/2026 10:38:12 AM"
"112","VS-45375-GREY-M","{""color"":""Grey"",""size"":""M""}","599000.00","98","112","Grey","M","0","5","True","6/17/2026 10:38:12 AM","6/17/2026 10:38:12 AM"
"113","VS-33110-BLACK-M","{""color"":""Black"",""size"":""M""}","599000.00","55","113","Black","M","0","5","True","6/17/2026 10:38:12 AM","6/17/2026 10:38:12 AM"
"114","VS-49622-BLACK-M","{""color"":""Black"",""size"":""M""}","599000.00","84","114","Black","M","0","5","True","6/17/2026 10:38:12 AM","6/17/2026 10:38:12 AM"
"115","VS-20275-MULTI-M","{""color"":""Multi"",""size"":""M""}","599000.00","21","115","Multi","M","0","5","True","6/17/2026 10:38:12 AM","6/17/2026 10:38:12 AM"
"116","VS-55644-BLACK-M","{""color"":""Black"",""size"":""M""}","599000.00","98","116","Black","M","0","5","True","6/17/2026 10:38:12 AM","6/17/2026 10:38:12 AM"
"117","VS-41673-GOLD-M","{""color"":""Gold"",""size"":""M""}","599000.00","38","117","Gold","M","0","5","True","6/17/2026 10:38:12 AM","6/17/2026 10:38:12 AM"
"118","VS-45343-MULTI-M","{""color"":""Multi"",""size"":""M""}","599000.00","16","118","Multi","M","0","5","True","6/17/2026 10:38:12 AM","6/17/2026 10:38:12 AM"
"119","VS-47637-YELLOW-M","{""color"":""Yellow"",""size"":""M""}","599000.00","82","119","Yellow","M","0","5","True","6/17/2026 10:38:12 AM","6/17/2026 10:38:12 AM"
"120","VS-45331-BLUE-M","{""color"":""Blue"",""size"":""M""}","599000.00","62","120","Blue","M","0","5","True","6/17/2026 10:38:12 AM","6/17/2026 10:38:12 AM"
"121","VS-47455-PURPLE-M","{""color"":""Purple"",""size"":""M""}","599000.00","11","121","Purple","M","0","5","True","6/17/2026 10:38:12 AM","6/17/2026 10:38:12 AM"
"122","VS-2900-SILVER-M","{""color"":""Silver"",""size"":""M""}","599000.00","72","122","Silver","M","0","5","True","6/17/2026 10:38:12 AM","6/17/2026 10:38:12 AM"
"123","VS-49618-BLACK-M","{""color"":""Black"",""size"":""M""}","599000.00","32","123","Black","M","0","5","True","6/17/2026 10:38:12 AM","6/17/2026 10:38:12 AM"
"124","VS-14362-BEIGE-M","{""color"":""Beige"",""size"":""M""}","599000.00","65","124","Beige","M","0","5","True","6/17/2026 10:38:12 AM","6/17/2026 10:38:12 AM"
"125","VS-3137-BROWN-M","{""color"":""Brown"",""size"":""M""}","599000.00","75","125","Brown","M","0","5","True","6/17/2026 10:38:12 AM","6/17/2026 10:38:12 AM"
"126","VS-34075-WHITE-M","{""color"":""White"",""size"":""M""}","599000.00","79","126","White","M","0","5","True","6/17/2026 10:38:12 AM","6/17/2026 10:38:12 AM"
"127","VS-19861-BLACK-M","{""color"":""Black"",""size"":""M""}","599000.00","18","127","Black","M","0","5","True","6/17/2026 10:38:12 AM","6/17/2026 10:38:12 AM"
"128","VS-16196-RED-M","{""color"":""Red"",""size"":""M""}","599000.00","100","128","Red","M","0","5","True","6/17/2026 10:38:12 AM","6/17/2026 10:38:12 AM"
"129","VS-15962-KHAKI-M","{""color"":""Khaki"",""size"":""M""}","599000.00","73","129","Khaki","M","0","5","True","6/17/2026 10:38:12 AM","6/17/2026 10:38:12 AM"
"130","VS-40051-NAVY-BLUE-M","{""color"":""Navy Blue"",""size"":""M""}","599000.00","49","130","Navy Blue","M","0","5","True","6/17/2026 10:38:12 AM","6/17/2026 10:38:12 AM"
"131","VS-19394-BLUE-M","{""color"":""Blue"",""size"":""M""}","599000.00","41","131","Blue","M","0","5","True","6/17/2026 10:38:12 AM","6/17/2026 10:38:12 AM"
"132","VS-59116-OLIVE-M","{""color"":""Olive"",""size"":""M""}","599000.00","43","132","Olive","M","0","5","True","6/17/2026 10:38:12 AM","6/17/2026 10:38:12 AM"
"133","VS-14960-BLUE-M","{""color"":""Blue"",""size"":""M""}","599000.00","29","133","Blue","M","0","5","True","6/17/2026 10:38:12 AM","6/17/2026 10:38:12 AM"
"134","VS-19331-NAVY-BLUE-M","{""color"":""Navy Blue"",""size"":""M""}","599000.00","50","134","Navy Blue","M","0","5","True","6/17/2026 10:38:12 AM","6/17/2026 10:38:12 AM"
"135","VS-6478-GREY-M","{""color"":""Grey"",""size"":""M""}","599000.00","12","135","Grey","M","0","5","True","6/17/2026 10:38:12 AM","6/17/2026 10:38:12 AM"
"136","VS-18523-BLACK-M","{""color"":""Black"",""size"":""M""}","599000.00","19","136","Black","M","0","5","True","6/17/2026 10:38:12 AM","6/17/2026 10:38:12 AM"
"137","VS-59106-BLACK-M","{""color"":""Black"",""size"":""M""}","599000.00","83","137","Black","M","0","5","True","6/17/2026 10:38:12 AM","6/17/2026 10:38:12 AM"
"138","VS-38156-GREEN-M","{""color"":""Green"",""size"":""M""}","599000.00","46","138","Green","M","0","5","True","6/17/2026 10:38:12 AM","6/17/2026 10:38:12 AM"
"139","VS-22202-BLUE-M","{""color"":""Blue"",""size"":""M""}","599000.00","79","139","Blue","M","0","5","True","6/17/2026 10:38:12 AM","6/17/2026 10:38:12 AM"
"140","VS-4462-BLACK-M","{""color"":""Black"",""size"":""M""}","599000.00","18","140","Black","M","0","5","True","6/17/2026 10:38:12 AM","6/17/2026 10:38:12 AM"
"141","VS-15012-BLUE-M","{""color"":""Blue"",""size"":""M""}","599000.00","68","141","Blue","M","0","5","True","6/17/2026 10:38:12 AM","6/17/2026 10:38:12 AM"
"142","VS-18985-WHITE-M","{""color"":""White"",""size"":""M""}","599000.00","16","142","White","M","0","5","True","6/17/2026 10:38:12 AM","6/17/2026 10:38:12 AM"
"143","VS-23150-PURPLE-M","{""color"":""Purple"",""size"":""M""}","599000.00","35","143","Purple","M","0","5","True","6/17/2026 10:38:12 AM","6/17/2026 10:38:12 AM"
"144","VS-14000-BLUE-M","{""color"":""Blue"",""size"":""M""}","599000.00","36","144","Blue","M","0","5","True","6/17/2026 10:38:12 AM","6/17/2026 10:38:12 AM"
"145","VS-38155-BLACK-M","{""color"":""Black"",""size"":""M""}","599000.00","50","145","Black","M","0","5","True","6/17/2026 10:38:12 AM","6/17/2026 10:38:12 AM"
"146","VS-15464-BLACK-M","{""color"":""Black"",""size"":""M""}","599000.00","57","146","Black","M","0","5","True","6/17/2026 10:38:12 AM","6/17/2026 10:38:12 AM"
"147","VS-17911-BLACK-M","{""color"":""Black"",""size"":""M""}","599000.00","93","147","Black","M","0","5","True","6/17/2026 10:38:12 AM","6/17/2026 10:38:12 AM"
"148","VS-28817-BLACK-M","{""color"":""Black"",""size"":""M""}","399000.00","94","148","Black","M","0","5","True","6/17/2026 10:38:12 AM","6/17/2026 10:38:12 AM"
"149","VS-28821-NAVY-BLUE-M","{""color"":""Navy Blue"",""size"":""M""}","399000.00","29","149","Navy Blue","M","0","5","True","6/17/2026 10:38:12 AM","6/17/2026 10:38:12 AM"
"150","VS-42402-BLUE-M","{""color"":""Blue"",""size"":""M""}","399000.00","89","150","Blue","M","0","5","True","6/17/2026 10:38:12 AM","6/17/2026 10:38:12 AM"
"151","VS-13260-BLACK-M","{""color"":""Black"",""size"":""M""}","399000.00","59","151","Black","M","0","5","True","6/17/2026 10:38:12 AM","6/17/2026 10:38:12 AM"
"152","VS-36741-BLUE-M","{""color"":""Blue"",""size"":""M""}","399000.00","79","152","Blue","M","0","5","True","6/17/2026 10:38:12 AM","6/17/2026 10:38:12 AM"
"153","VS-39385-GREY-M","{""color"":""Grey"",""size"":""M""}","399000.00","43","153","Grey","M","0","5","True","6/17/2026 10:38:12 AM","6/17/2026 10:38:12 AM"
"154","VS-46890-BLUE-M","{""color"":""Blue"",""size"":""M""}","399000.00","84","154","Blue","M","0","5","True","6/17/2026 10:38:12 AM","6/17/2026 10:38:12 AM"
"155","VS-46893-BLUE-M","{""color"":""Blue"",""size"":""M""}","399000.00","13","155","Blue","M","0","5","True","6/17/2026 10:38:12 AM","6/17/2026 10:38:12 AM"
